price,quantity,created_at
425871.40139,0.16,2019-03-03 14:45:47.605620
425864.0,0.05,2019-03-03 14:45:47.605620
425863.39,0.1,2019-03-03 14:45:47.605620
425858.99,0.1,2019-03-03 14:45:47.605620
425851.83,0.002,2019-03-03 14:45:47.605620
425845.0,0.02,2019-03-03 14:45:47.605620
425843.75,0.11167,2019-03-03 14:45:47.605620
425831.07,0.004,2019-03-03 14:45:47.605620
425831.06,0.052,2019-03-03 14:45:47.605620
425826.985,0.21781148,2019-03-03 14:45:47.605620
425826.2872,0.06,2019-03-03 14:45:47.605620
425825.985,0.18050244,2019-03-03 14:45:47.605620
425825.0,0.003786,2019-03-03 14:45:47.605620
425824.0,0.50000013,2019-03-03 14:45:47.605620
425907.021,0.05,2019-03-03 14:45:48.694306
425907.02,0.04087,2019-03-03 14:45:48.694306
425907.01,0.05,2019-03-03 14:45:48.694306
425888.53,0.052,2019-03-03 14:45:48.694306
425887.52,0.08,2019-03-03 14:45:48.694306
425873.40139,0.02,2019-03-03 14:45:48.694306
425871.40139,0.16,2019-03-03 14:45:48.694306
425871.03,0.1,2019-03-03 14:45:48.694306
425864.0,0.05,2019-03-03 14:45:48.694306
425863.39,0.1,2019-03-03 14:45:48.694306
425851.84,0.002,2019-03-03 14:45:48.694306
425845.0,0.02,2019-03-03 14:45:48.694306
425831.08,0.004,2019-03-03 14:45:48.694306
425831.06,0.052,2019-03-03 14:45:48.694306
425826.985,0.21781148,2019-03-03 14:45:48.694306
425826.2872,0.06,2019-03-03 14:45:48.694306
425825.985,0.18050244,2019-03-03 14:45:48.694306
425825.0,0.003786,2019-03-03 14:45:48.694306
425824.0,0.97380013,2019-03-03 14:45:48.694306
425815.0,0.108852,2019-03-03 14:45:48.694306
425800.0,0.07,2019-03-03 14:45:48.694306
425907.031,0.05,2019-03-03 14:45:49.788603
425907.02,0.04087,2019-03-03 14:45:49.788603
425907.01,0.05,2019-03-03 14:45:49.788603
425889.53,0.052,2019-03-03 14:45:49.788603
425887.52,0.08,2019-03-03 14:45:49.788603
425874.4,0.052,2019-03-03 14:45:49.788603
425873.40139,0.02,2019-03-03 14:45:49.788603
425872.0,0.50000013,2019-03-03 14:45:49.788603
425871.40139,0.16,2019-03-03 14:45:49.788603
425871.03,0.1,2019-03-03 14:45:49.788603
425864.0,0.05,2019-03-03 14:45:49.788603
425863.39,0.1,2019-03-03 14:45:49.788603
425858.91,0.10584,2019-03-03 14:45:49.788603
425851.85,0.002,2019-03-03 14:45:49.788603
425845.0,0.02,2019-03-03 14:45:49.788603
425831.09,0.004,2019-03-03 14:45:49.788603
425826.985,0.21781148,2019-03-03 14:45:49.788603
425826.2872,0.06,2019-03-03 14:45:49.788603
425826.0,1.00000013,2019-03-03 14:45:49.788603
425825.985,0.18050244,2019-03-03 14:45:49.788603
425825.0,0.003786,2019-03-03 14:45:49.788603
425907.04,0.04087,2019-03-03 14:45:50.877230
425907.031,0.05,2019-03-03 14:45:50.877230
425907.01,0.05,2019-03-03 14:45:50.877230
425889.53,0.052,2019-03-03 14:45:50.877230
425888.0,0.50000013,2019-03-03 14:45:50.877230
425887.52,0.1,2019-03-03 14:45:50.877230
425874.4,0.052,2019-03-03 14:45:50.877230
425873.40139,0.02,2019-03-03 14:45:50.877230
425873.0,0.21781148,2019-03-03 14:45:50.877230
425872.03,0.1,2019-03-03 14:45:50.877230
425871.40139,0.16,2019-03-03 14:45:50.877230
425871.03,0.1,2019-03-03 14:45:50.877230
425865.0,1.00000013,2019-03-03 14:45:50.877230
425864.0,0.05,2019-03-03 14:45:50.877230
425858.91,0.10584,2019-03-03 14:45:50.877230
425851.86,0.002,2019-03-03 14:45:50.877230
425845.0,0.02,2019-03-03 14:45:50.877230
425831.1,0.004,2019-03-03 14:45:50.877230
425826.985,0.21781148,2019-03-03 14:45:50.877230
425825.985,0.18050244,2019-03-03 14:45:50.877230
425825.0,0.003786,2019-03-03 14:45:50.877230
425907.04,0.04087,2019-03-03 14:45:51.997268
425907.031,0.05,2019-03-03 14:45:51.997268
425907.01,0.05,2019-03-03 14:45:51.997268
425888.0,0.50000013,2019-03-03 14:45:51.997268
425887.52,0.1,2019-03-03 14:45:51.997268
425880.79,0.1,2019-03-03 14:45:51.997268
425873.40139,0.02,2019-03-03 14:45:51.997268
425873.0,0.21781148,2019-03-03 14:45:51.997268
425872.03,0.1,2019-03-03 14:45:51.997268
425871.40139,0.16,2019-03-03 14:45:51.997268
425871.03,0.1,2019-03-03 14:45:51.997268
425865.0,1.00000013,2019-03-03 14:45:51.997268
425864.0,0.05,2019-03-03 14:45:51.997268
425858.91,0.10584,2019-03-03 14:45:51.997268
425851.87,0.002,2019-03-03 14:45:51.997268
425851.0,2.00000013,2019-03-03 14:45:51.997268
425845.0,0.02,2019-03-03 14:45:51.997268
425831.11,0.004,2019-03-03 14:45:51.997268
425825.985,0.18050244,2019-03-03 14:45:51.997268
425825.0,0.003786,2019-03-03 14:45:51.997268
425815.0,0.013952,2019-03-03 14:45:51.997268
425917.89,0.0014286,2019-03-03 14:45:53.128913
425907.04,0.04087,2019-03-03 14:45:53.128913
425907.031,0.05,2019-03-03 14:45:53.128913
425907.01,0.05,2019-03-03 14:45:53.128913
425887.52,0.12,2019-03-03 14:45:53.128913
425883.68,0.1,2019-03-03 14:45:53.128913
425880.79,0.1,2019-03-03 14:45:53.128913
425874.0,0.50000013,2019-03-03 14:45:53.128913
425873.40139,0.02,2019-03-03 14:45:53.128913
425873.0,0.21781148,2019-03-03 14:45:53.128913
425871.40139,0.16,2019-03-03 14:45:53.128913
425865.0,1.00000013,2019-03-03 14:45:53.128913
425864.0,0.05,2019-03-03 14:45:53.128913
425858.91,0.10584,2019-03-03 14:45:53.128913
425851.88,0.002,2019-03-03 14:45:53.128913
425851.0,2.00000013,2019-03-03 14:45:53.128913
425845.0,0.02,2019-03-03 14:45:53.128913
425831.12,0.004,2019-03-03 14:45:53.128913
425825.985,0.18050244,2019-03-03 14:45:53.128913
425825.0,0.003786,2019-03-03 14:45:53.128913
425815.0,0.013952,2019-03-03 14:45:53.128913
425917.89,0.0014286,2019-03-03 14:45:54.216808
425907.04,0.04087,2019-03-03 14:45:54.216808
425907.031,0.05,2019-03-03 14:45:54.216808
425907.01,0.05,2019-03-03 14:45:54.216808
425887.52,0.12,2019-03-03 14:45:54.216808
425885.12,0.10896,2019-03-03 14:45:54.216808
425883.68,0.1,2019-03-03 14:45:54.216808
425880.79,0.1,2019-03-03 14:45:54.216808
425873.40139,0.02,2019-03-03 14:45:54.216808
425873.0,0.21781148,2019-03-03 14:45:54.216808
425871.40139,0.16,2019-03-03 14:45:54.216808
425864.0,0.05,2019-03-03 14:45:54.216808
425851.88,0.002,2019-03-03 14:45:54.216808
425851.09111,0.06,2019-03-03 14:45:54.216808
425845.0,0.02,2019-03-03 14:45:54.216808
425831.12,0.004,2019-03-03 14:45:54.216808
425825.985,0.18050244,2019-03-03 14:45:54.216808
425825.0,0.003786,2019-03-03 14:45:54.216808
425815.0,0.013952,2019-03-03 14:45:54.216808
425800.0,0.07,2019-03-03 14:45:54.216808
425792.7484,0.008,2019-03-03 14:45:54.216808
425907.04,0.01157,2019-03-03 14:45:55.301302
425907.031,0.05,2019-03-03 14:45:55.301302
425907.01,0.05,2019-03-03 14:45:55.301302
425888.0,0.50000013,2019-03-03 14:45:55.301302
425887.52,0.14,2019-03-03 14:45:55.301302
425885.12,0.10896,2019-03-03 14:45:55.301302
425883.68,0.1,2019-03-03 14:45:55.301302
425880.79,0.1,2019-03-03 14:45:55.301302
425874.0,1.00000013,2019-03-03 14:45:55.301302
425873.40139,0.02,2019-03-03 14:45:55.301302
425873.0,0.21781148,2019-03-03 14:45:55.301302
425871.40139,0.16,2019-03-03 14:45:55.301302
425864.0,0.05,2019-03-03 14:45:55.301302
425851.89,0.002,2019-03-03 14:45:55.301302
425849.0,2.00000013,2019-03-03 14:45:55.301302
425845.0,0.02,2019-03-03 14:45:55.301302
425832.13,0.004,2019-03-03 14:45:55.301302
425825.985,0.18050244,2019-03-03 14:45:55.301302
425825.0,0.003786,2019-03-03 14:45:55.301302
425815.0,0.013952,2019-03-03 14:45:55.301302
425800.0,0.07,2019-03-03 14:45:55.301302
425917.91,0.01157,2019-03-03 14:45:56.379804
425917.9,0.05,2019-03-03 14:45:56.379804
425907.01,0.05,2019-03-03 14:45:56.379804
425888.0,0.50000013,2019-03-03 14:45:56.379804
425887.52,0.14,2019-03-03 14:45:56.379804
425874.46,0.1,2019-03-03 14:45:56.379804
425874.0,1.00000013,2019-03-03 14:45:56.379804
425873.40139,0.02,2019-03-03 14:45:56.379804
425873.0,0.21781148,2019-03-03 14:45:56.379804
425871.40139,0.16,2019-03-03 14:45:56.379804
425871.25,0.1,2019-03-03 14:45:56.379804
425865.08,0.11092,2019-03-03 14:45:56.379804
425864.0,0.05,2019-03-03 14:45:56.379804
425851.9,0.002,2019-03-03 14:45:56.379804
425849.0,2.00000013,2019-03-03 14:45:56.379804
425845.0,0.02,2019-03-03 14:45:56.379804
425832.14,0.004,2019-03-03 14:45:56.379804
425825.985,0.18050244,2019-03-03 14:45:56.379804
425825.0,0.003786,2019-03-03 14:45:56.379804
425815.0,0.013952,2019-03-03 14:45:56.379804
425805.83111,0.06,2019-03-03 14:45:56.379804
425917.91,0.01007,2019-03-03 14:45:57.473521
425917.9,0.05,2019-03-03 14:45:57.473521
425907.01,0.05,2019-03-03 14:45:57.473521
425888.0,0.50000013,2019-03-03 14:45:57.473521
425887.52,0.16,2019-03-03 14:45:57.473521
425879.0,0.01,2019-03-03 14:45:57.473521
425874.46,0.1,2019-03-03 14:45:57.473521
425874.0,1.00000013,2019-03-03 14:45:57.473521
425873.40139,0.02,2019-03-03 14:45:57.473521
425873.0,0.21781148,2019-03-03 14:45:57.473521
425871.40139,0.16,2019-03-03 14:45:57.473521
425871.25,0.1,2019-03-03 14:45:57.473521
425865.08,0.11092,2019-03-03 14:45:57.473521
425864.0,0.05,2019-03-03 14:45:57.473521
425851.91,0.002,2019-03-03 14:45:57.473521
425849.0,2.00000013,2019-03-03 14:45:57.473521
425845.0,0.02,2019-03-03 14:45:57.473521
425832.14,0.004,2019-03-03 14:45:57.473521
425825.985,0.18050244,2019-03-03 14:45:57.473521
425825.0,0.003786,2019-03-03 14:45:57.473521
425815.0,0.013952,2019-03-03 14:45:57.473521
425887.52,0.16,2019-03-03 14:45:58.570543
425879.0,0.01,2019-03-03 14:45:58.570543
425874.46,0.1,2019-03-03 14:45:58.570543
425874.0,1.00000013,2019-03-03 14:45:58.570543
425873.40139,0.02,2019-03-03 14:45:58.570543
