created_at,id,price,quantity,taker_side
1551623446,95721631,426092.97,0.00000002,buy
1551623446,95721630,426092.97,0.00000002,buy
1551623445,95721629,426092.97,0.00000002,buy
1551623445,95721628,426073.22,0.00000002,buy
1551623445,95721627,426043.00085,0.03553262,sell
1551623445,95721626,426073.22,0.00000002,buy
1551623445,95721625,426048.02,0.04,sell
1551623445,95721624,426066.29,0.04,buy
1551623445,95721623,426066.29,0.04,buy
1551623445,95721622,426066.29,0.04,buy
1551623445,95721621,426066.29,0.04,buy
1551623445,95721620,426066.29,0.04,buy
1551623445,95721619,426066.29,0.04,buy
1551623445,95721618,426066.29,0.04,buy
1551623445,95721617,426043.00085,0.00446738,sell
1551623445,95721616,426043.00085,0.03553262,sell
1551623444,95721615,426043.00085,0.00446738,sell
1551623444,95721614,426043.00085,0.03553262,sell
1551623443,95721613,426048.01,0.04,sell
1551623443,95721612,426043.00085,0.00446738,sell
1551623443,95721611,426043.00085,0.03553262,sell
1551623443,95721610,426048.01,0.04,sell
1551623442,95721608,426046.00085,0.04,buy
1551623442,95721607,426043.3,0.006,buy
1551623442,95721606,426043.00085,0.04,buy
1551623442,95721605,426043.00085,0.04,buy
1551623442,95721604,426043.00085,0.04,buy
1551623442,95721603,426043.00085,0.04,buy
1551623442,95721602,426043.00085,0.04,buy
1551623442,95721601,426043.00085,0.04,buy
1551623435,95721598,426041.95,0.08176,buy
1551623424,95721593,426045.73,0.128033,sell
1551623424,95721592,426045.73,0.2,sell
1551623423,95721591,426045.73,0.071967,sell
1551623423,95721590,426046.0,0.60000026,buy
1551623423,95721589,426045.73,0.36599282,buy
1551623423,95721588,426045.73,0.03400718,buy
1551623422,95721587,426000.03,0.00446738,sell
1551623422,95721586,426000.03,0.03553262,sell
1551623422,95721585,426046.0,0.60000026,sell
1551623422,95721584,426045.73,0.4,buy
1551623422,95721583,426000.03,0.04,sell
1551623420,95721582,425993.00085,0.00446738,sell
1551623420,95721581,425993.00085,0.03553262,sell
1551623419,95721580,425990.001,0.034,sell
1551623419,95721579,426010.0,0.006,sell
1551623419,95721578,426033.0,0.006,sell
1551623419,95721576,426033.0,0.006,sell
1551623419,95721575,426033.0,0.006,sell
1551623419,95721574,425983.29,0.00446738,sell
1551623419,95721573,426008.0,0.02070298,sell
1551623418,95721572,426040.98,0.06375,buy
1551623418,95721571,426033.0,0.018,buy
1551623418,95721570,425983.29,0.03553262,sell
1551623418,95721569,426008.0,0.01929702,sell
1551623418,95721568,426008.0,0.04,buy
1551623418,95721567,426007.99,0.02,buy
1551623417,95721565,425983.29,0.04,buy
1551623415,95721564,425983.29,0.00446738,sell
1551623415,95721563,426002.68,0.128033,sell
1551623415,95721561,425983.29,0.03553262,sell
1551623415,95721560,426002.68,0.071967,sell
1551623415,95721557,426002.68,0.04176,buy
1551623415,95721556,425983.29,0.04,buy
1551623414,95721555,426002.68,0.10057452,buy
1551623414,95721554,425983.29,0.00446738,sell
1551623414,95721553,425983.29,0.03553262,sell
1551623414,95721552,426002.68,0.2,buy
1551623413,95721551,425983.29,0.04,buy
1551623413,95721549,425998.21726,0.06,sell
1551623413,95721548,425986.29,0.00446738,sell
1551623413,95721547,425986.29,0.03553262,sell
